key,English,German,Russian,Chinese,Spanish,French,Portuguese_Brazilian,Polish,Italian,Japanese,Ukrainian
omp_sort_chest_tip,Merges the chest's stacks and sorts it by kind and name.,Fasst die Stapel der Truhe zusammen und sortiert sie nach Art und Name.,Объединяет стопки сундука и сортирует их по виду и названию.,合并宝箱内的堆叠，并按种类和名称排序。,Junta los montones del cofre y los ordena por tipo y nombre.,Fusionne les piles du coffre et les trie par type et par nom.,Junta as pilhas do baú e as organiza por tipo e nome.,Łączy stosy w skrzyni i porządkuje je według rodzaju i nazwy.,Unisce le pile dello scrigno e le ordina per tipo e nome.,チェストのスタックをまとめ、種類と名前で並べ替える。,Об’єднує стоси скрині та впорядковує їх за видом і назвою.
omp_fill_inventory,Fill your stacks,Deine Stapel füllen,Пополнить свои стопки,补满自己的堆叠,Completar tus montones,Compléter vos piles,Completar suas pilhas,Uzupełnij swoje stosy,Completa le tue pile,自分のスタックを補充,Поповнити свої стоси
omp_fill_inventory_tip,"Tops up the stacks you carry from the chest, as far as they hold. Nothing new is taken.","Füllt deine Stapel aus der Truhe auf, so weit sie fassen. Nichts Neues wird genommen.","Пополняет ваши стопки из сундука, насколько они вмещают. Ничего нового не берётся.",从宝箱中补满你已携带的堆叠，直到装满为止。不会拿取新的物品。,"Completa desde el cofre los montones que ya llevas, hasta donde quepan. No se coge nada nuevo.","Complète depuis le coffre les piles que vous portez déjà, autant qu'elles peuvent. Rien de nouveau n'est pris.","Completa do baú as pilhas que você já carrega, até onde couber. Nada novo é pego.","Uzupełnia ze skrzyni stosy, które już niesiesz, na tyle, na ile się zmieszczą. Nic nowego nie zostaje zabrane.","Completa dallo scrigno le pile che già porti, fin dove arrivano. Non viene preso nulla di nuovo.",持っているスタックをチェストから上限まで補充する。新しいアイテムは取らない。,"Поповнює ваші стоси зі скрині, наскільки вони вміщують. Нічого нового не береться."
omp_took,Took $1 onto your stacks,$1 auf deine Stapel genommen,Взято на ваши стопки: $1,已取得 $1 补入堆叠,$1 añadido a tus montones,$1 ajouté à vos piles,$1 somado às suas pilhas,Dobrano do twoich stosów: $1,$1 aggiunto alle tue pile,$1 をスタックに補充した,Додано до ваших стосів: $1
omp_took_none,Nothing to take onto your stacks,"Nichts, was auf deine Stapel passt",Нечего добавить к вашим стопкам,没有可补入堆叠的物品,No hay nada para tus montones,Rien à ajouter à vos piles,Nada para somar às suas pilhas,Nie ma czym uzupełnić twoich stosów,Niente da aggiungere alle tue pile,スタックに補充できるものがない,Немає чим поповнити ваші стоси
omp_stacked_chest,Stacked $1 into the chest,$1 in die Truhe gestapelt,Сложено в сундук: $1,已将 $1 堆入宝箱,$1 amontonado en el cofre,$1 empilé dans le coffre,$1 agrupado no baú,Przeniesiono do skrzyni: $1,$1 accatastato nello scrigno,$1 をチェストにスタックした,Складено до скрині: $1
omp_stacked_chest_none,Nothing to stack into the chest,Nichts in die Truhe zu stapeln,Нечего сложить в сундук,没有可堆入宝箱的物品,No hay nada que amontonar en el cofre,Rien à empiler dans le coffre,Nada para agrupar no baú,Nie ma czego przenieść do skrzyni,Niente da accatastare nello scrigno,チェストにスタックできるものがない,Немає чого складати до скрині
omp_placed,Placed $1 in the chest,$1 in der Truhe verstaut,Убрано в сундук: $1,已将 $1 存入宝箱,$1 guardado en el cofre,$1 rangé dans le coffre,$1 guardado no baú,Schowano w skrzyni: $1,$1 riposto nello scrigno,$1 をチェストにしまった,Прибрано до скрині: $1
omp_placed_none,Nothing to place,Nichts zu verstauen,Нечего класть,没有可存入的物品,No hay nada que guardar,Rien à ranger,Nada para guardar,Nie ma czego schować,Niente da riporre,しまえるものがない,Немає чого прибирати
//
// The inventory panel's buttons
omp_stack_nearby,Stack nearby,In der Nähe stapeln,Сложить поблизости,堆入附近,Amontonar cerca,Empiler autour,Agrupar por perto,Rozłóż w pobliżu,Accatasta vicino,近くにスタック,Скласти поблизу
omp_stack_nearby_tip,Stacks your inventory into the chests around you that already hold each item.,"Stapelt dein Inventar in die Truhen um dich herum, die den Gegenstand schon enthalten.","Раскладывает ваш инвентарь по сундукам вокруг, где такой предмет уже есть.",将你物品栏中的物品堆入附近已存有该物品的宝箱。,Reparte tu inventario entre los cofres cercanos que ya tengan ese objeto.,Range votre inventaire dans les coffres autour de vous qui contiennent déjà l'objet.,Distribui seu inventário pelos baús ao redor que já tenham o item.,"Rozkłada twój ekwipunek do okolicznych skrzyń, w których już jest dany przedmiot.",Distribuisce il tuo inventario negli scrigni vicini che hanno già l'oggetto.,同じアイテムがすでに入っている近くのチェストに、インベントリをスタックする。,"Розкладає ваші речі по навколишніх скринях, де такий предмет уже є."
omp_sort,Sort,Sortieren,Упорядочить,整理,Ordenar,Trier,Organizar,Uporządkuj,Ordina,整理,Упорядкувати
omp_sort_tip,"Merges your stacks and sorts the inventory by kind and name. What you have equipped, your favourites and the hotbar stay.","Fasst deine Stapel zusammen und sortiert das Inventar nach Art und Name. Angelegte Ausrüstung, Favoriten und die Schnellleiste bleiben, wo sie sind.","Объединяет ваши стопки и сортирует инвентарь по виду и названию. Надетое снаряжение, избранное и панель остаются на месте.",合并你的堆叠，并按种类和名称整理物品栏。已装备的装备、收藏和快捷栏保持不动。,"Junta tus montones y ordena el inventario por tipo y nombre. El equipo puesto, los favoritos y la barra rápida no se mueven.","Fusionne vos piles et trie l'inventaire par type et par nom. Les objets équipés, les favoris et les raccourcis ne bougent pas.","Junta suas pilhas e organiza o inventário por tipo e nome. Equipamentos equipados, favoritos e a barra rápida não saem do lugar.","Łączy twoje stosy i porządkuje ekwipunek według rodzaju i nazwy. Założone wyposażenie, ulubione i pasek zostają na miejscu.","Unisce le tue pile e ordina l'inventario per tipo e nome. L'equipaggiamento indossato, i preferiti e la barra rapida non si muovono.",スタックをまとめ、インベントリを種類と名前で並べ替える。装備中の装備、お気に入り、ホットバーはそのまま。,"Об’єднує ваші стоси та впорядковує речі за видом і назвою. Надіте спорядження, улюблене й панель лишаються на місці."
//
// Quick stacking
omp_no_chest,No chest in reach,Keine Truhe in Reichweite,Рядом нет сундука,附近没有宝箱,No hay ningún cofre cerca,Aucun coffre à portée,Nenhum baú por perto,Brak skrzyni w zasięgu,Nessuno scrigno a portata,近くにチェストがない,Поблизу немає скрині
omp_stacked_one_chest,Stacked $1 into one chest,$1 in eine Truhe gestapelt,Сложено в один сундук: $1,已将 $1 堆入 1 个宝箱,$1 amontonado en un cofre,$1 empilé dans un coffre,$1 agrupado em um baú,Przeniesiono do jednej skrzyni: $1,$1 accatastato in uno scrigno,$1 を 1 個のチェストにスタックした,Складено до однієї скрині: $1
omp_stacked_chests,Stacked $1 into $2 chests,$1 in $2 Truhen gestapelt,"Сложено: $1, сундуков: $2",已将 $1 堆入 $2 个宝箱,$1 amontonado en $2 cofres,$1 empilé dans $2 coffres,$1 agrupado em $2 baús,"Przeniesiono: $1, skrzynie: $2",$1 accatastato in $2 scrigni,$1 を $2 個のチェストにスタックした,"Складено: $1, скринь: $2"
omp_stacked_none,Nothing to stack away,Nichts zum Verstauen,Нечего убирать,没有可存放的物品,No hay nada que repartir,Rien à ranger ailleurs,Nada para distribuir,Nie ma czego rozłożyć,Niente da distribuire,スタックできるものがない,Немає чого розкладати
omp_favourites_inventory,Favourites only in your inventory,Favoriten nur in deinem Inventar,Избранное только в вашем инвентаре,收藏只能在你的物品栏中设置,Favoritos solo en tu inventario,Favoris uniquement dans votre inventaire,Favoritos só no seu inventário,Ulubione tylko w twoim ekwipunku,Preferiti solo nel tuo inventario,お気に入りはインベントリだけ,Улюблене лише у ваших речах
omp_chest_takes,This chest now takes $1,Diese Truhe nimmt jetzt $1,Теперь сундук принимает: $1,此宝箱现在接收 $1,Este cofre ya acepta $1,Ce coffre accepte désormais $1,Este baú agora aceita $1,Ta skrzynia przyjmuje teraz: $1,Ora questo scrigno accetta $1,このチェストは $1 を受け入れる,Тепер скриня приймає: $1
omp_chest_takes_not,This chest no longer takes $1,Diese Truhe nimmt $1 nicht mehr,Сундук больше не принимает: $1,此宝箱不再接收 $1,Este cofre ya no acepta $1,Ce coffre n'accepte plus $1,Este baú não aceita mais $1,Ta skrzynia już nie przyjmuje: $1,Questo scrigno non accetta più $1,このチェストは $1 を受け入れない,Скриня більше не приймає: $1
//
// Whether a chest may be reached into - BUTTON, in the chest panel's left slot
omp_nearby_on,Nearby use: on,Fernzugriff: Ein,Доступ: вкл.,远程取用：开启,Acceso: sí,Accès : actif,Acesso: lig.,Dostęp: wł.,Accesso: attivo,遠隔利用：オン,Доступ: увімк.
omp_nearby_off,Nearby use: off,Fernzugriff: Aus,Доступ: выкл.,远程取用：关闭,Acceso: no,Accès : inactif,Acesso: deslig.,Dostęp: wył.,Accesso: inattivo,遠隔利用：オフ,Доступ: вимк.
omp_nearby_topic,Nearby use,Fernzugriff,Доступ,远程取用,Acceso,Accès,Acesso,Dostęp,Accesso,遠隔利用,Доступ
omp_nearby_tip,"Whether crafting, quick stacking and refuelling may reach into this chest","Ob Herstellung, Schnellstapeln und Nachfüllen auf diese Truhe zugreifen dürfen","Может ли ремесло, быстрая укладка и заправка топливом брать из этого сундука",是否允许工艺合成、快速收纳和添加燃料取用此宝箱,"Si la elaboración, el amontonado rápido y el combustible pueden usar este cofre","Si la fabrication, l'empilage rapide et le combustible peuvent puiser dans ce coffre","Se produção, agrupamento rápido e combustível podem usar este baú","Czy wyrób, szybkie chowanie i dokładanie paliwa mogą sięgać do tej skrzyni","Se lavorazione, accatastamento rapido e rifornimento possono attingere a questo scrigno",作成、クイックスタック、燃料補給がこのチェストを使えるかどうか,"Чи можуть ремесло, швидке складання й паливо сягати цієї скрині"
//
// The kinds of item a chest is marked to take - the clear rows are a BUTTON, right slot
omp_clear_favourite,Clear 1 favourite,1 Favorit löschen,Очистить: 1,清除 1 项收藏,Borrar 1 favorito,Effacer 1 favori,Limpar 1 favorito,Usuń ulubione: 1,Rimuovi 1 preferito,お気に入り1件削除,Очистити: 1
omp_clear_favourites,Clear $1 favourites,$1 Favoriten löschen,Очистить: $1,清除 $1 项收藏,Borrar $1 favoritos,Effacer $1 favoris,Limpar $1 favoritos,Usuń ulubione: $1,Rimuovi $1 preferiti,お気に入り$1件削除,Очистити: $1
omp_favourites_topic,The chest's favourites,Favoriten der Truhe,Избранное сундука,宝箱的收藏,Favoritos del cofre,Favoris du coffre,Favoritos do baú,Ulubione skrzyni,Preferiti dello scrigno,チェストのお気に入り,Улюблене скрині
omp_favourites_tip_head,This chest takes these even while it holds none:,"Diese Truhe nimmt diese, auch wenn sie gerade keine enthält:","Сундук принимает это, даже если ничего такого в нём нет:",即使箱内没有，此宝箱也会接收这些物品：,Este cofre los acepta aunque no tenga ninguno:,Ce coffre les accepte même s'il n'en contient aucun :,Este baú os aceita mesmo sem ter nenhum:,"Ta skrzynia je przyjmuje, nawet gdy żadnego nie ma:",Questo scrigno li accetta anche se non ne ha nessuno:,中になくても、このチェストはこれらを受け入れる：,"Скриня приймає це, навіть коли нічого такого в ній немає:"
omp_favourites_tip_foot,Alt-click an item in the chest to mark its kind; this button clears every mark at once.,Alt-Klick auf einen Gegenstand in der Truhe markiert seine Art; diese Taste löscht alle Markierungen auf einmal.,Alt-клик по предмету в сундуке отмечает его вид; эта кнопка снимает все отметки разом.,按住 Alt 点击宝箱中的物品可标记其种类；此按钮一次清除所有标记。,Alt+clic en un objeto del cofre marca su tipo; este botón borra todas las marcas de una vez.,Alt + clic sur un objet du coffre marque son type ; ce bouton efface toutes les marques d'un coup.,Alt+clique em um item do baú marca o tipo dele; este botão limpa todas as marcas de uma vez.,Alt + kliknięcie przedmiotu w skrzyni oznacza jego rodzaj; ten przycisk usuwa wszystkie oznaczenia naraz.,Alt + clic su un oggetto nello scrigno ne segna il tipo; questo pulsante cancella tutti i segni in una volta.,チェスト内のアイテムを Alt クリックすると種類を登録。このボタンで登録をまとめて削除。,Alt-клік на предметі у скрині позначає його вид; ця кнопка знімає всі позначки разом.
omp_favourites_cleared,The chest's favourites are cleared,Favoriten der Truhe gelöscht,Избранное сундука очищено,已清除宝箱的收藏,Favoritos del cofre borrados,Favoris du coffre effacés,Favoritos do baú limpos,Usunięto ulubione skrzyni,Preferiti dello scrigno rimossi,チェストのお気に入りを削除した,Улюблене скрині очищено
//
// Adding fuel and materials by hand
omp_add_all,Add all ($1),Alles hinzufügen ($1),Добавить все ($1),全部添加（$1）,Añadir todo ($1),Tout ajouter ($1),Adicionar tudo ($1),Dodaj wszystko ($1),Aggiungi tutto ($1),全部追加（$1）,Додати все ($1)
//
// The forsaken powers picker
omp_forsaken_powers,Forsaken Powers,Verlassenen-Kräfte,Силы Павших,放逐之力,Poderes de los Desterrados,Pouvoirs de Déchu,Poderes dos Guardiões,Moce Wygnanych,Poteri dei Rinnegati,見捨てられしものの力,Сили Забутих
//
// What a crafting requirement's hover text says about the chests around you
omp_carried,Carried: $1,Getragen: $1,С собой: $1,携带：$1,Encima: $1,Sur vous : $1,Com você: $1,Przy sobie: $1,Con te: $1,所持：$1,При собі: $1
omp_from_chests,Nearby chests: $1,Truhen in der Nähe: $1,Сундуки рядом: $1,附近宝箱：$1,Cofres cercanos: $1,Coffres proches : $1,Baús por perto: $1,Skrzynie w pobliżu: $1,Scrigni vicini: $1,近くのチェスト：$1,Скрині поблизу: $1
//
// Map pins that belong to nobody (Auto Pins): the names on the map. Ore, dungeons and places
// holding an item are named by the game's own words (item_copper, location_forestcrypt,
// item_dragonegg, ...); these rows are only the places the game has no name for.
omp_dungeon,Dungeon,Dungeon,Подземелье,地下城,Mazmorra,Donjon,Masmorra,Loch,Dungeon,ダンジョン,Підземелля
omp_place_fulingvillage,Fuling Village,Fulingdorf,Деревня фулингов,丑地精村落,Aldea fuling,Village gobelin,Vila fuling,Wioska Fulingów,Villaggio fuling,フューリングの村,Село фулінґів
omp_place_tarpit,Tar Pit,Teergrube,Дегтярная яма,沥青坑,Pozo de brea,Fosse de goudron,Poço de betume,Jama smoły,Pozza di pece,タールの沼,Смоляна яма
omp_place_excavation,Dvergr Excavation,Dvergr-Ausgrabung,Раскопки двергов,矮人挖掘场,Excavación dvergr,Fouilles dvergr,Escavação dvergr,Wykopalisko Dvergrów,Scavo dvergr,ドヴェルグの発掘場,Розкопки дворфів
omp_place_guardtower,Dvergr Watchtower,Dvergr-Wachturm,Сторожевая башня двергов,矮人哨塔,Atalaya dvergr,Tour de guet dvergr,Torre de vigia dvergr,Strażnica Dvergrów,Torre di guardia dvergr,ドヴェルグの見張り塔,Сторожова вежа дворфів
omp_place_lighthouse,Dvergr Lighthouse,Dvergr-Leuchtturm,Маяк двергов,矮人灯塔,Faro dvergr,Phare dvergr,Farol dvergr,Latarnia Dvergrów,Faro dvergr,ドヴェルグの灯台,Маяк дворфів
omp_place_village,Village,Dorf,Деревня,村落,Aldea,Village,Vila,Wioska,Villaggio,村,Село
omp_place_farm,Farm,Bauernhof,Ферма,农场,Granja,Ferme,Fazenda,Gospodarstwo,Fattoria,農場,Ферма
omp_place_ruins,Ruins,Ruinen,Руины,废墟,Ruinas,Ruines,Ruínas,Ruiny,Rovine,遺跡,Руїни
omp_place_fortress,Fortress Ruins,Festungsruine,Руины крепости,要塞废墟,Ruinas de fortaleza,Ruines de forteresse,Ruínas da fortaleza,Ruiny twierdzy,Rovine della fortezza,要塞跡,Руїни фортеці
// the large map's toggles that show or hide the pins that belong to nobody, by kind
omp_map_dungeons,Dungeons,Dungeons,Подземелья,地下城,Mazmorras,Donjons,Masmorras,Lochy,Dungeon,ダンジョン,Підземелля
omp_map_ore,Ore,Erz,Руда,矿石,Mena,Minerai,Minério,Ruda,Minerale,鉱石,Руда
omp_map_places,Places,Orte,Места,地点,Lugares,Lieux,Lugares,Miejsca,Luoghi,場所,Місця
